Year,Dividend,Type
2021,14.549999999999999,Historical
2022,9.25,Historical
2023,9.75,Historical
2024,15.15,Historical
2025,21.7,Historical
2026,24.694837457618018,Projected
2027,27.37442999379538,Projected
2028,29.537159739041186,Projected
2029,30.99932995054302,Projected
2030,31.619316549553883,Projected
