Year,Dividend,Type
2021,3.02,Historical
2022,5.51,Historical
2023,7.2,Historical
2024,6.6,Historical
2025,7.1,Historical
2026,8.577245950355103,Projected
2027,9.958586600391573,Projected
2028,11.094178221796126,Projected
2029,11.837662368738071,Projected
2030,12.074415616112832,Projected
