Year,Dividend,Type
2021,330.0,Historical
2022,2500.0,Historical
2023,2000.0,Historical
2024,515.0,Historical
2025,1120.0,Historical
2026,1221.0840579067938,Projected
2027,1309.844923476582,Projected
2028,1382.0524977531452,Projected
2029,1433.9670965393325,Projected
2030,1462.6464384701192,Projected
