Year,Dividend,Type
2022,3.75,Historical
2023,8.15,Historical
2024,8.5,Historical
2025,9.0,Historical
2026,11.752547459635895,Projected
2027,14.507097251456665,Projected
2028,16.87058342875945,Projected
2029,18.4135611123966,Projected
2030,18.781832334644534,Projected
