Date,Dividends
2021-12-31 00:00:00+01:00,1.5
2022-12-31 00:00:00+01:00,1.65
2023-12-31 00:00:00+01:00,1.8
2024-12-31 00:00:00+01:00,1.95
2025-12-31 00:00:00+01:00,2.15
