Year,Dividend,Type
2021,1.5,Historical
2022,1.65,Historical
2023,1.8,Historical
2024,1.95,Historical
2025,2.15,Historical
2026,2.349432471292414,Projected
2027,2.5246283977946287,Projected
2028,2.6669660493230842,Projected
2029,2.768817008675659,Projected
2030,2.8241933488491724,Projected
