Year,Dividend,Type
2018,8.3,Historical
2019,8.5,Historical
2020,7.0,Historical
2021,25.0,Historical
2022,9.2,Historical
2023,10.461209093221125,Projected
2024,11.589094380626744,Projected
2025,12.499347890468027,Projected
2026,13.115215587596584,Projected
2027,13.377519899348515,Projected
