Year,Dividend,Type
2021,40.0,Historical
2022,40.0,Historical
2023,55.0,Historical
2024,5.0,Historical
2025,5.0,Historical
2026,2.679433656340733,Projected
2027,1.7601602901766071,Projected
2028,1.3693050201954369,Projected
2029,1.2309664382949081,Projected
2030,1.2555857670608064,Projected
