Year,Dividend,Type
2021,2.75,Historical
2022,3.0,Historical
2023,3.0,Historical
2024,3.0,Historical
2025,6.0,Historical
2026,7.0131796135278055,Projected
2027,7.936446837899844,Projected
2028,8.685898484612787,Projected
2029,9.18286926478955,Projected
2030,9.366526650085342,Projected
