Year,Dividend,Type
2021,17.4,Historical
2022,9.75,Historical
2023,12.5,Historical
2024,16.0,Historical
2025,16.75,Historical
2026,17.46704586766757,Projected
2027,18.115187353413557,Projected
2028,18.684083114523485,Projected
2029,19.164304728232775,Projected
2030,19.54759082279743,Projected
