Year,variable,method,value,parameter_value,growth_rate
2031,CapEx,man_inp_growth,2463178414.0,0.1,0.1
2032,CapEx,man_inp_growth,2709496256.0,0.1,0.1
2033,CapEx,man_inp_growth,2980445881.0,0.1,0.1
2034,CapEx,man_inp_growth,3278490470.0,0.1,0.1
2025,Depreciation And Amortization,cagr,0.0,-0.04,-0.04
2026,Depreciation And Amortization,cagr,0.0,-0.04,-0.04
2027,Depreciation And Amortization,cagr,0.0,-0.04,-0.04
2028,Depreciation And Amortization,cagr,0.0,-0.04,-0.04
2029,Depreciation And Amortization,cagr,0.0,-0.04,-0.04
2030,Depreciation And Amortization,cagr,0.0,-0.04,-0.04
2031,Depreciation And Amortization,cagr,0.0,-0.04,-0.04
2032,Depreciation And Amortization,cagr,0.0,-0.04,-0.04
2033,Depreciation And Amortization,cagr,0.0,-0.04,-0.04
2034,Depreciation And Amortization,cagr,0.0,-0.04,-0.04
2025,Depreciation And Amortization,slope,767500000.0,-65300000.0,
2026,Depreciation And Amortization,slope,702200000.0,-65300000.0,-0.09
2027,Depreciation And Amortization,slope,636900000.0,-65300000.0,-0.09
2028,Depreciation And Amortization,slope,571600000.0,-65300000.0,-0.1
2029,Depreciation And Amortization,slope,506300000.0,-65300000.0,-0.11
2030,Depreciation And Amortization,slope,441000000.0,-65300000.0,-0.13
2031,Depreciation And Amortization,slope,375700000.0,-65300000.0,-0.15
2032,Depreciation And Amortization,slope,310400000.0,-65300000.0,-0.17
2033,Depreciation And Amortization,slope,245100000.0,-65300000.0,-0.21
2034,Depreciation And Amortization,slope,179800000.0,-65300000.0,-0.27
2025,Depreciation And Amortization,man_inp_growth,0.0,0.1,0.1
2026,Depreciation And Amortization,man_inp_growth,0.0,0.1,0.1
2027,Depreciation And Amortization,man_inp_growth,0.0,0.1,0.1
2028,Depreciation And Amortization,man_inp_growth,0.0,0.1,0.1
2029,Depreciation And Amortization,man_inp_growth,0.0,0.1,0.1
2030,Depreciation And Amortization,man_inp_growth,0.0,0.1,0.1
2031,Depreciation And Amortization,man_inp_growth,0.0,0.1,0.1
2032,Depreciation And Amortization,man_inp_growth,0.0,0.1,0.1
2033,Depreciation And Amortization,man_inp_growth,0.0,0.1,0.1
2034,Depreciation And Amortization,man_inp_growth,0.0,0.1,0.1
2025,Delta WC,cagr,,,
2026,Delta WC,cagr,,,
2027,Delta WC,cagr,,,
2028,Delta WC,cagr,,,
2029,Delta WC,cagr,,,
2030,Delta WC,cagr,,,
2031,Delta WC,cagr,,,
2032,Delta WC,cagr,,,
2033,Delta WC,cagr,,,
2034,Delta WC,cagr,,,
2025,Delta WC,slope,-94666667.0,-121500000.0,-0.84
2026,Delta WC,slope,-216166667.0,-121500000.0,1.28
2027,Delta WC,slope,-337666667.0,-121500000.0,0.56
2028,Delta WC,slope,-459166667.0,-121500000.0,0.36
2029,Delta WC,slope,-580666667.0,-121500000.0,0.26
2030,Delta WC,slope,-702166667.0,-121500000.0,0.21
2031,Delta WC,slope,-823666667.0,-121500000.0,0.17
2032,Delta WC,slope,-945166667.0,-121500000.0,0.15
2033,Delta WC,slope,-1066666667.0,-121500000.0,0.13
2034,Delta WC,slope,-1188166667.0,-121500000.0,0.11
2025,Delta WC,man_inp_growth,-661100000.0,0.1,0.1
2026,Delta WC,man_inp_growth,-727210000.0,0.1,0.1
2027,Delta WC,man_inp_growth,-799931000.0,0.1,0.1
