,FCFF,FCF,EBIT,CapEx,Depreciation And Amortization,Delta WC,Tax Provision,Revenue,EBITDA,Net Income,Total Debt,Cash,Operating Cash Flow,Net Debt,Current Assets,Current Liabilities,Pretax Income,Total Assets,Interest Expense,WorkingCapital,ttm,effective_tax_rate,ReinvestmentRate,FCFE,capital_invested,ROCE,operating_margin,sales_to_capital
2021-12-31,,120000000.0,276000000.0,836000000.0,982000000.0,,81000000.0,15587000000.0,1258000000.0,134000000.0,1436000000.0,2394000000.0,956000000.0,-958000000.0,12864000000.0,12700000000.0,224000000.0,19648000000.0,52000000.0,164000000.0,0,0.36160714285714285,,,6948000000.0,0.039723661485319514,0.01770706357862321,2.2433793897524468
2022-12-31,-1191000000.0,-1014000000.0,-1633000000.0,819000000.0,1088000000.0,-49000000.0,-124000000.0,14486000000.0,-545000000.0,-1572000000.0,2427000000.0,2352000000.0,-195000000.0,75000000.0,13628000000.0,13513000000.0,-1696000000.0,20090000000.0,63000000.0,115000000.0,0,0.07311320754716981,-1.2312789927104042,-1191000000.0,6577000000.0,-0.24828949369013228,-0.11272953196189424,2.202523947088338
2023-12-31,-576000000.0,135000000.0,337000000.0,892000000.0,789000000.0,786000000.0,24000000.0,15382000000.0,1126000000.0,77000000.0,3387000000.0,3288000000.0,1027000000.0,99000000.0,14921000000.0,14020000000.0,102000000.0,22514000000.0,235000000.0,901000000.0,0,0.23529411764705882,7.881789137380192,-576000000.0,8494000000.0,0.039675064751589356,0.021908724483162136,1.8109253590769956
2024-12-31,689000000.0,1177000000.0,899000000.0,1155000000.0,864000000.0,-292000000.0,211000000.0,17295000000.0,1763000000.0,499000000.0,3271000000.0,3785000000.0,2332000000.0,-514000000.0,16089000000.0,15480000000.0,705000000.0,24644000000.0,194000000.0,609000000.0,0,0.29929078014184396,2.510174418604651,689000000.0,9164000000.0,0.0981012658227848,0.05198034113905753,1.887276298559581
2025-07-18,75000000.0,1851000000.0,981000000.0,1264000000.0,0.0,-601000000.0,243000000.0,18082000000.0,981000000.0,572000000.0,3332000000.0,3375000000.0,3115000000.0,-43000000.0,16443000000.0,16198000000.0,817000000.0,25277000000.0,,,1,0.2974296205630355,0.8983739837398373,75000000.0,9079000000.0,0.1080515475272607,0.054252848136268114,1.9916290340345852
