Year,Dividend,Type
2021,4.5,Historical
2022,4.75,Historical
2023,5.0,Historical
2024,5.5,Historical
2025,5.75,Historical
2026,6.128099650649532,Projected
2027,6.460961758084012,Projected
2028,6.737996365542378,Projected
2029,6.949833009803314,Projected
2030,7.08882966999938,Projected
