Year,Dividend,Type
2021,1.825,Historical
2022,1.9,Historical
2023,2.3,Historical
2024,2.8,Historical
2025,3.0,Historical
2026,3.4445569933221427,Projected
2027,3.8446052533582664,Projected
2028,4.167908997882427,Projected
2029,4.384833723895573,Projected
2030,4.472530398373485,Projected
