Year,Dividend,Type
2021,4.959985,Historical
2022,6.7,Historical
2023,15.627442,Historical
2024,13.68785,Historical
2025,13.37347,Historical
2026,17.51551455734629,Projected
2027,21.671784197788753,Projected
2028,25.24460542147813,Projected
2029,27.57797063791685,Projected
2030,28.129530050675186,Projected
