Year,FCFF,growth_rate,PV,Discount Factor,Type
2021,102435000000.0,0.0,,,Historical calendar year
2022,99333000000.0,-0.030282618245716764,,,Historical calendar year
2023,104697000000.0,0.05400018120866168,,,Historical calendar year
2024,91814000000.0,-0.12305032617935563,,,Historical calendar year
2025,107059000000.0,0.1660422157840853,,,Historical ttm
2025,103223051754.63585,-0.03583022674753311,94418331612.47379,0.9147019973494763,Projected calendar year
2026,99524546404.6949,-0.03583022674753311,83270172003.12971,0.8366797439551213,Projected calendar year
2027,95958559340.0693,-0.03583022674753311,73438297701.44717,0.765312632937598,Projected calendar year
2028,92520342400.548,-0.03583022674753311,64767292291.454346,0.7000329939448076,Projected calendar year
2029,89205317553.57697,-0.03583022674753311,57120089681.54524,0.6403215777718493,Projected calendar year
,1339669753371.3984,0.025,857819450171.998,0.6403215777718493,Terminal value
