Year,Dividend,Type
2021,5.5,Historical
2022,6.0,Historical
2023,6.0,Historical
2024,7.5,Historical
2025,8.5,Historical
2026,9.482463381484752,Projected
2027,10.351890966502074,Projected
2028,11.053665982267747,Projected
2029,11.538877503141226,Projected
2030,11.769655053204051,Projected
