Date,Dividends
2021-12-31 00:00:00+01:00,19.0
2022-12-31 00:00:00+01:00,20.0
2023-12-31 00:00:00+01:00,21.0
2024-12-31 00:00:00+01:00,22.0
2025-12-31 00:00:00+01:00,10.0
