Year,Dividend,Type
2021,19.0,Historical
2022,20.0,Historical
2023,21.0,Historical
2024,22.0,Historical
2025,10.0,Historical
2026,8.879500751449799,Projected
2027,8.177687711244515,Projected
2028,7.801309941590575,Projected
2029,7.6997955425329465,Projected
2030,7.8537914533836055,Projected
