Year,FCFF,growth_rate,PV,Discount Factor,Type
2021,2259000000.0,0.0,,,Historical calendar year
2022,1915000000.0,-0.1522797698096503,,,Historical calendar year
2023,451000000.0,-0.764490861618799,,,Historical calendar year
2024,1237000000.0,1.7427937915742793,,,Historical calendar year
2025,1359000000.0,0.09862570735650777,,,Historical ttm
2025,1454130000.0,0.07,1353297436.8827734,0.9306578069930291,Projected calendar year
2026,1555919100.0,0.07,1347618802.5559118,0.8661239537170743,Projected calendar year
2027,1664833437.0,0.07,1341963996.6107047,0.8060650193504642,Projected calendar year
2028,1781371777.5900002,0.07,1336332919.0597718,0.7501707032024966,Projected calendar year
2029,1906067802.0213003,0.07,1330725470.3352938,0.698152221512854,Projected calendar year
,39462068184.943954,0.025,27550530568.81034,0.698152221512854,Terminal value
