Year,FCFF,growth_rate,PV,Discount Factor,Type
2021,2259000000.0,0.0,,,Historical calendar year
2022,1915000000.0,-0.1522797698096503,,,Historical calendar year
2023,451000000.0,-0.764490861618799,,,Historical calendar year
2024,1237000000.0,1.7427937915742793,,,Historical calendar year
2025,1359000000.0,0.09862570735650777,,,Historical ttm
2025,1111827161.9096062,-0.18187846805768493,1034730628.2580776,0.9306578069930291,Projected calendar year
2026,909609740.9565635,-0.18187846805768493,787834785.1768625,0.8661239537170743,Projected calendar year
2027,744171314.741036,-0.18187846805768493,599850465.2167935,0.8060650193504642,Projected calendar year
2028,608822576.0434631,-0.18187846805768493,456720859.99608016,0.7501707032024966,Projected calendar year
2029,498090858.59374464,-0.18187846805768493,347743239.4424677,0.698152221512854,Projected calendar year
,10312170114.45219,0.025,7199464474.023259,0.698152221512854,Terminal value
