Year,Dividend,Type
2021,3.21,Historical
2022,4.2,Historical
2023,7.15,Historical
2024,7.7,Historical
2025,8.1,Historical
2026,10.356312808257464,Projected
2027,12.571713005223948,Projected
2028,14.44840032511716,Projected
2029,15.671302586549261,Projected
2030,15.984728638280247,Projected
