,FCFF,FCF,EBIT,CapEx,Depreciation And Amortization,Delta WC,Tax Provision,Revenue,EBITDA,Net Income,Total Debt,Total Equity,Cash,Operating Cash Flow,Dividends,RnD,Ordinary Shares Number,Net Debt,Current Assets,Current Liabilities,Pretax Income,Total Assets,Interest Expense,WorkingCapital,ttm,effective_tax_rate,ReinvestmentRate,capital_invested,ROCE,operating_margin,sales_to_capital,FCFE
2021-12-31,,300818268.31589,598439581.351094,38363463.368221,37754519.505233,,146298763.082778,1281370123.691722,636194100.856327,450161750.713606,64700285.442436,3379029495.718363,1363577545.195052,339181731.68411,,,65718456.0,-1298877259.752616,3461236917.221694,238705994.291151,596460513.796384,3749115128.449096,1979067.55471,3222530922.930543,0,0.24527820316487972,,2080152235.965747,0.21712612583129806,0.4670310086729238,0.6159982435597188,
2022-12-31,219122120.6624323,517422530.548799,1005195814.562674,45625296.852286,52102074.007974,576458699.833169,214885073.187582,2087681169.849883,1057297888.570647,784697534.506829,85925243.598785,3926654096.921372,1423883475.58255,563047827.401085,,,65371625.0,-1337958231.9837651,4061371061.759668,262381438.995956,999582607.694411,4334978914.492149,5613206.868262,3798989622.763712,0,0.2149748020158389,0.8530645420817472,2588695864.937607,0.3048268643790384,0.4814891416752845,0.8064605804514625,219122120.6624323
2023-12-31,-110269839.25763416,1039897376.204107,847329286.978418,55825444.524949,43799218.443777,752417297.2158575,190786426.102553,2445926524.212802,891128505.422195,646149825.990902,114323383.734603,4693197610.195864,2207332137.639415,1095722820.729057,,,65330365.0,-2093008753.9048119,4920211186.468862,368804266.489292,836936252.093454,5239425829.364184,10393034.884964,4551406919.979569,0,0.22795813375909232,1.2977705051090065,2600188856.291052,0.25158698855917666,0.34642466917567066,0.9406726431793527,-110269839.25763416
2024-12-31,2529769966.414653,1041771304.202243,1295273173.726212,42413081.087114,57620402.92427,-1405863083.8279982,184162062.615101,3003236787.767175,1352893576.650483,1094369105.418829,143562698.811318,5119844857.413918,1375355767.620961,1084184385.289358,,,63540179.0,-1231793068.809643,3886098554.606842,740554718.455271,1278531168.03393,6391400189.742731,16742005.692282,3145543836.1515713,0,0.14404190309908319,-1.175246639834953,3888051788.6042747,0.28515555374006424,0.43129239059741686,0.7724271565953784,2529769966.414653
2025-08-09,481244318.0446124,920771304.202243,1413273173.726212,74413081.087114,62620402.92427,758354617.3612208,159162062.615101,3261236787.767175,1475893576.650483,1230369105.418829,148000000.0,5302000000.0,1296000000.0,995184385.289358,,,61502527.0,-1148000000.0,3910000000.0,629000000.0,1389531168.03393,6464000000.0,23742005.692282,,1,0.11454371537437477,0.7139623382965753,4154000000.0,0.3012497866077702,0.4333549710426938,0.7850834828519921,481244318.0446124
