Year,variable,method,value,parameter_value,growth_rate
2028,Net Income,cagr,373914630.0,-0.17,-0.17
2029,Net Income,cagr,308685765.0,-0.17,-0.17
2030,Net Income,cagr,254835981.0,-0.17,-0.17
2031,Net Income,cagr,210380213.0,-0.17,-0.17
2032,Net Income,cagr,173679690.0,-0.17,-0.17
2033,Net Income,cagr,143381520.0,-0.17,-0.17
2034,Net Income,cagr,118368822.0,-0.17,-0.17
2025,Net Income,slope,224000000.0,-258700000.0,-0.72
2026,Net Income,slope,-34700000.0,-258700000.0,-1.15
2027,Net Income,slope,-293400000.0,-258700000.0,7.46
2028,Net Income,slope,-552100000.0,-258700000.0,0.88
2029,Net Income,slope,-810800000.0,-258700000.0,0.47
2030,Net Income,slope,-1069500000.0,-258700000.0,0.32
2031,Net Income,slope,-1328200000.0,-258700000.0,0.24
2032,Net Income,slope,-1586900000.0,-258700000.0,0.19
2033,Net Income,slope,-1845600000.0,-258700000.0,0.16
2034,Net Income,slope,-2104300000.0,-258700000.0,0.14
2025,Net Income,man_inp_growth,861350000.0,0.07,0.07
2026,Net Income,man_inp_growth,921644500.0,0.07,0.07
2027,Net Income,man_inp_growth,986159615.0,0.07,0.07
2028,Net Income,man_inp_growth,1055190788.0,0.07,0.07
2029,Net Income,man_inp_growth,1129054143.0,0.07,0.07
2030,Net Income,man_inp_growth,1208087933.0,0.07,0.07
2031,Net Income,man_inp_growth,1292654089.0,0.07,0.07
2032,Net Income,man_inp_growth,1383139875.0,0.07,0.07
2033,Net Income,man_inp_growth,1479959666.0,0.07,0.07
2034,Net Income,man_inp_growth,1583556843.0,0.07,0.07
2025,FCF,cagr,943000000.0,0.15,0.15
2026,FCF,cagr,1084450000.0,0.15,0.15
2027,FCF,cagr,1247117500.0,0.15,0.15
2028,FCF,cagr,1434185125.0,0.15,0.15
2029,FCF,cagr,1649312894.0,0.15,0.15
2030,FCF,cagr,1896709828.0,0.15,0.15
2031,FCF,cagr,2181216302.0,0.15,0.15
2032,FCF,cagr,2508398747.0,0.15,0.15
2033,FCF,cagr,2884658559.0,0.15,0.15
2034,FCF,cagr,3317357343.0,0.15,0.15
2025,FCF,slope,1630000000.0,444600000.0,0.99
2026,FCF,slope,2074600000.0,444600000.0,0.27
2027,FCF,slope,2519200000.0,444600000.0,0.21
2028,FCF,slope,2963800000.0,444600000.0,0.18
2029,FCF,slope,3408400000.0,444600000.0,0.15
2030,FCF,slope,3853000000.0,444600000.0,0.13
2031,FCF,slope,4297600000.0,444600000.0,0.12
2032,FCF,slope,4742200000.0,444600000.0,0.1
2033,FCF,slope,5186800000.0,444600000.0,0.09
2034,FCF,slope,5631400000.0,444600000.0,0.09
2025,FCF,man_inp_growth,877400000.0,0.07,0.07
2026,FCF,man_inp_growth,938818000.0,0.07,0.07
2027,FCF,man_inp_growth,1004535260.0,0.07,0.07
2028,FCF,man_inp_growth,1074852728.0,0.07,0.07
2029,FCF,man_inp_growth,1150092419.0,0.07,0.07
2030,FCF,man_inp_growth,1230598889.0,0.07,0.07
2031,FCF,man_inp_growth,1316740811.0,0.07,0.07
2032,FCF,man_inp_growth,1408912667.0,0.07,0.07
2033,FCF,man_inp_growth,1507536554.0,0.07,0.07
2034,FCF,man_inp_growth,1613064113.0,0.07,0.07
2025,Depreciation And Amortization,cagr,1462335826.0,0.05,0.05
2026,Depreciation And Amortization,cagr,1535122806.0,0.05,0.05
2027,Depreciation And Amortization,cagr,1611532718.0,0.05,0.05
2028,Depreciation And Amortization,cagr,1691745893.0,0.05,0.05
2029,Depreciation And Amortization,cagr,1775951635.0,0.05,0.05
2030,Depreciation And Amortization,cagr,1864348673.0,0.05,0.05
2031,Depreciation And Amortization,cagr,1957145626.0,0.05,0.05
2032,Depreciation And Amortization,cagr,2054561497.0,0.05,0.05
2033,Depreciation And Amortization,cagr,2156826191.0,0.05,0.05
2034,Depreciation And Amortization,cagr,2264181056.0,0.05,0.05
2025,Depreciation And Amortization,slope,1647500000.0,75600000.0,0.18
2026,Depreciation And Amortization,slope,1723100000.0,75600000.0,0.05
2027,Depreciation And Amortization,slope,1798700000.0,75600000.0,0.04
2028,Depreciation And Amortization,slope,1874300000.0,75600000.0,0.04
2029,Depreciation And Amortization,slope,1949900000.0,75600000.0,0.04
2030,Depreciation And Amortization,slope,2025500000.0,75600000.0,0.04
2031,Depreciation And Amortization,slope,2101100000.0,75600000.0,0.04
2032,Depreciation And Amortization,slope,2176700000.0,75600000.0,0.04
2033,Depreciation And Amortization,slope,2252300000.0,75600000.0,0.03
2034,Depreciation And Amortization,slope,2327900000.0,75600000.0,0.03
2025,Depreciation And Amortization,man_inp_growth,1490510000.0,0.07,0.07
2026,Depreciation And Amortization,man_inp_growth,1594845700.0,0.07,0.07
2027,Depreciation And Amortization,man_inp_growth,1706484899.0,0.07,0.07
2028,Depreciation And Amortization,man_inp_growth,1825938842.0,0.07,0.07
2029,Depreciation And Amortization,man_inp_growth,1953754561.0,0.07,0.07
2030,Depreciation And Amortization,man_inp_growth,2090517380.0,0.07,0.07
2031,Depreciation And Amortization,man_inp_growth,2236853597.0,0.07,0.07
2032,Depreciation And Amortization,man_inp_growth,2393433349.0,0.07,0.07
2033,Depreciation And Amortization,man_inp_growth,2560973683.0,0.07,0.07
2034,Depreciation And Amortization,man_inp_growth,2740241841.0,0.07,0.07
2025,Total Debt,cagr,11744138674.0,-0.0,-0.0
2026,Total Debt,cagr,11717338646.0,-0.0,-0.0
2027,Total Debt,cagr,11690599775.0,-0.0,-0.0
2028,Total Debt,cagr,11663921922.0,-0.0,-0.0
2029,Total Debt,cagr,11637304948.0,-0.0,-0.0
2030,Total Debt,cagr,11610748713.0,-0.0,-0.0
2031,Total Debt,cagr,11584253080.0,-0.0,-0.0
2032,Total Debt,cagr,11557817909.0,-0.0,-0.0
2033,Total Debt,cagr,11531443063.0,-0.0,-0.0
2034,Total Debt,cagr,11505128405.0,-0.0,-0.0
2025,Total Debt,slope,12453500000.0,-299100000.0,0.06
2026,Total Debt,slope,12154400000.0,-299100000.0,-0.02
2027,Total Debt,slope,11855300000.0,-299100000.0,-0.02
2028,Total Debt,slope,11556200000.0,-299100000.0,-0.03
2029,Total Debt,slope,11257100000.0,-299100000.0,-0.03
2030,Total Debt,slope,10958000000.0,-299100000.0,-0.03
2031,Total Debt,slope,10658900000.0,-299100000.0,-0.03
2032,Total Debt,slope,10359800000.0,-299100000.0,-0.03
2033,Total Debt,slope,10060700000.0,-299100000.0,-0.03
2034,Total Debt,slope,9761600000.0,-299100000.0,-0.03
2025,Total Debt,man_inp_growth,12594970000.0,0.07,0.07
2026,Total Debt,man_inp_growth,13476617900.0,0.07,0.07
2027,Total Debt,man_inp_growth,14419981153.0,0.07,0.07
2028,Total Debt,man_inp_growth,15429379834.0,0.07,0.07
2029,Total Debt,man_inp_growth,16509436422.0,0.07,0.07
2030,Total Debt,man_inp_growth,17665096972.0,0.07,0.07
2031,Total Debt,man_inp_growth,18901653760.0,0.07,0.07
2032,Total Debt,man_inp_growth,20224769523.0,0.07,0.07
2033,Total Debt,man_inp_growth,21640503389.0,0.07,0.07
2034,Total Debt,man_inp_growth,23155338627.0,0.07,0.07
2025,Cash,cagr,425336698.0,-0.46,-0.46
2026,Cash,cagr,229874595.0,-0.46,-0.46
2027,Cash,cagr,124236469.0,-0.46,-0.46
2028,Cash,cagr,67144002.0,-0.46,-0.46
2029,Cash,cagr,36288193.0,-0.46,-0.46
2030,Cash,cagr,19612071.0,-0.46,-0.46
2031,Cash,cagr,10599408.0,-0.46,-0.46
2032,Cash,cagr,5728484.0,-0.46,-0.46
2033,Cash,cagr,3095978.0,-0.46,-0.46
2034,Cash,cagr,1673231.0,-0.46,-0.46
2025,Cash,slope,-1043000000.0,-1451200000.0,-2.33
2026,Cash,slope,-2494200000.0,-1451200000.0,1.39
2027,Cash,slope,-3945400000.0,-1451200000.0,0.58
2028,Cash,slope,-5396600000.0,-1451200000.0,0.37
2029,Cash,slope,-6847800000.0,-1451200000.0,0.27
2030,Cash,slope,-8299000000.0,-1451200000.0,0.21
2031,Cash,slope,-9750200000.0,-1451200000.0,0.17
2032,Cash,slope,-11201400000.0,-1451200000.0,0.15
2033,Cash,slope,-12652600000.0,-1451200000.0,0.13
2034,Cash,slope,-14103800000.0,-1451200000.0,0.11
2025,Cash,man_inp_growth,842090000.0,0.07,0.07
2026,Cash,man_inp_growth,901036300.0,0.07,0.07
2027,Cash,man_inp_growth,964108841.0,0.07,0.07
2028,Cash,man_inp_growth,1031596460.0,0.07,0.07
2029,Cash,man_inp_growth,1103808212.0,0.07,0.07
2030,Cash,man_inp_growth,1181074787.0,0.07,0.07
2031,Cash,man_inp_growth,1263750022.0,0.07,0.07
2032,Cash,man_inp_growth,1352212524.0,0.07,0.07
2033,Cash,man_inp_growth,1446867400.0,0.07,0.07
2034,Cash,man_inp_growth,1548148118.0,0.07,0.07
2025,CapEx,cagr,1355434379.0,-0.03,-0.03
2026,CapEx,cagr,1318881805.0,-0.03,-0.03
2027,CapEx,cagr,1283314961.0,-0.03,-0.03
2028,CapEx,cagr,1248707262.0,-0.03,-0.03
2029,CapEx,cagr,1215032844.0,-0.03,-0.03
2030,CapEx,cagr,1182266539.0,-0.03,-0.03
2031,CapEx,cagr,1150383856.0,-0.03,-0.03
2032,CapEx,cagr,1119360967.0,-0.03,-0.03
