,Revenue,EBITDA,Net Income,FCF,Depreciation And Amortization,Total Debt,Cash,CapEx,Operating Cash Flow,Net Issuance Payments Of Debt,Current Assets,Current Liabilities,Delta WC,Tax Provision,Pretax Income,ttm,Change in Debt,effective_tax_rate,ReinvestmentRate,FCFF,FCFE
2021-12-31,3088000000.0,604000000.0,303000000.0,124000000.0,201000000.0,90000000.0,,-302000000.0,426000000.0,-74000000.0,951000000.0,523000000.0,-82000000.0,90000000.0,393000000.0,0,,0.22900763358778625,-0.3929742311979542,1050679389.3129771,1050679389.3129771
2022-12-31,3907000000.0,605000000.0,273000000.0,60000000.0,236000000.0,233000000.0,,-334000000.0,394000000.0,115000000.0,1127000000.0,642000000.0,-148000000.0,85000000.0,358000000.0,0,,0.23743016759776536,-0.5332122423031515,1179354748.603352,1179354748.603352
2023-12-31,3620000000.0,805000000.0,389000000.0,381000000.0,261000000.0,115000000.0,,-326000000.0,707000000.0,-100000000.0,1193000000.0,551000000.0,71000000.0,133000000.0,522000000.0,0,,0.2547892720306513,0.010001756374842324,1115894636.0153258,1115894636.0153258
2024-12-31,3855000000.0,976000000.0,550000000.0,430000000.0,263000000.0,122000000.0,,-387000000.0,817000000.0,0.0,1241000000.0,597000000.0,-7000000.0,146000000.0,696000000.0,0,,0.20977011494252873,-0.1698509687034277,1428264367.816092,1428264367.816092
2025-07-02,3896000000.0,983000000.0,550000000.0,377000000.0,268000000.0,,,,764000000.0,,1516000000.0,746000000.0,-29000000.0,144000000.0,694000000.0,1,7000000.0,0.207492795389049,,,
