Year,variable,method,value,parameter_value,growth_rate
2032,FCF,cagr,10386424567.0,0.51,0.51
2033,FCF,cagr,15721054073.0,0.51,0.51
2034,FCF,cagr,23795632420.0,0.51,0.51
2025,FCF,slope,558500000.0,123900000.0,0.48
2026,FCF,slope,682400000.0,123900000.0,0.22
2027,FCF,slope,806300000.0,123900000.0,0.18
2028,FCF,slope,930200000.0,123900000.0,0.15
2029,FCF,slope,1054100000.0,123900000.0,0.13
2030,FCF,slope,1178000000.0,123900000.0,0.12
2031,FCF,slope,1301900000.0,123900000.0,0.11
2032,FCF,slope,1425800000.0,123900000.0,0.1
2033,FCF,slope,1549700000.0,123900000.0,0.09
2034,FCF,slope,1673600000.0,123900000.0,0.08
2025,FCF,man_inp_growth,407160000.0,0.08,0.08
2026,FCF,man_inp_growth,439732800.0,0.08,0.08
2027,FCF,man_inp_growth,474911424.0,0.08,0.08
2028,FCF,man_inp_growth,512904338.0,0.08,0.08
2029,FCF,man_inp_growth,553936685.0,0.08,0.08
2030,FCF,man_inp_growth,598251620.0,0.08,0.08
2031,FCF,man_inp_growth,646111749.0,0.08,0.08
2032,FCF,man_inp_growth,697800689.0,0.08,0.08
2033,FCF,man_inp_growth,753624744.0,0.08,0.08
2034,FCF,man_inp_growth,813914724.0,0.08,0.08
2025,Depreciation And Amortization,cagr,293126236.0,0.09,0.09
2026,Depreciation And Amortization,cagr,320608172.0,0.09,0.09
2027,Depreciation And Amortization,cagr,350666667.0,0.09,0.09
2028,Depreciation And Amortization,cagr,383543284.0,0.09,0.09
2029,Depreciation And Amortization,cagr,419502235.0,0.09,0.09
2030,Depreciation And Amortization,cagr,458832504.0,0.09,0.09
2031,Depreciation And Amortization,cagr,501850167.0,0.09,0.09
2032,Depreciation And Amortization,cagr,548900935.0,0.09,0.09
2033,Depreciation And Amortization,cagr,600362928.0,0.09,0.09
2034,Depreciation And Amortization,cagr,656649721.0,0.09,0.09
2025,Depreciation And Amortization,slope,293000000.0,21100000.0,0.09
2026,Depreciation And Amortization,slope,314100000.0,21100000.0,0.07
2027,Depreciation And Amortization,slope,335200000.0,21100000.0,0.07
2028,Depreciation And Amortization,slope,356300000.0,21100000.0,0.06
2029,Depreciation And Amortization,slope,377400000.0,21100000.0,0.06
2030,Depreciation And Amortization,slope,398500000.0,21100000.0,0.06
2031,Depreciation And Amortization,slope,419600000.0,21100000.0,0.05
2032,Depreciation And Amortization,slope,440700000.0,21100000.0,0.05
2033,Depreciation And Amortization,slope,461800000.0,21100000.0,0.05
2034,Depreciation And Amortization,slope,482900000.0,21100000.0,0.05
2025,Depreciation And Amortization,man_inp_growth,289440000.0,0.08,0.08
2026,Depreciation And Amortization,man_inp_growth,312595200.0,0.08,0.08
2027,Depreciation And Amortization,man_inp_growth,337602816.0,0.08,0.08
2028,Depreciation And Amortization,man_inp_growth,364611041.0,0.08,0.08
2029,Depreciation And Amortization,man_inp_growth,393779925.0,0.08,0.08
2030,Depreciation And Amortization,man_inp_growth,425282319.0,0.08,0.08
2031,Depreciation And Amortization,man_inp_growth,459304904.0,0.08,0.08
2032,Depreciation And Amortization,man_inp_growth,496049296.0,0.08,0.08
2033,Depreciation And Amortization,man_inp_growth,535733240.0,0.08,0.08
2034,Depreciation And Amortization,man_inp_growth,578591899.0,0.08,0.08
2025,Total Debt,cagr,135020259.0,0.11,0.11
2026,Total Debt,cagr,149430085.0,0.11,0.11
2027,Total Debt,cagr,165377778.0,0.11,0.11
2028,Total Debt,cagr,183027463.0,0.11,0.11
2029,Total Debt,cagr,202560783.0,0.11,0.11
2030,Total Debt,cagr,224178765.0,0.11,0.11
2031,Total Debt,cagr,248103894.0,0.11,0.11
2032,Total Debt,cagr,274582394.0,0.11,0.11
2033,Total Debt,cagr,303886771.0,0.11,0.11
2034,Total Debt,cagr,336318612.0,0.11,0.11
2025,Total Debt,slope,134500000.0,-2200000.0,0.1
2026,Total Debt,slope,132300000.0,-2200000.0,-0.02
2027,Total Debt,slope,130100000.0,-2200000.0,-0.02
2028,Total Debt,slope,127900000.0,-2200000.0,-0.02
2029,Total Debt,slope,125700000.0,-2200000.0,-0.02
2030,Total Debt,slope,123500000.0,-2200000.0,-0.02
2031,Total Debt,slope,121300000.0,-2200000.0,-0.02
2032,Total Debt,slope,119100000.0,-2200000.0,-0.02
2033,Total Debt,slope,116900000.0,-2200000.0,-0.02
2034,Total Debt,slope,114700000.0,-2200000.0,-0.02
2025,Total Debt,man_inp_growth,131760000.0,0.08,0.08
2026,Total Debt,man_inp_growth,142300800.0,0.08,0.08
2027,Total Debt,man_inp_growth,153684864.0,0.08,0.08
2028,Total Debt,man_inp_growth,165979653.0,0.08,0.08
2029,Total Debt,man_inp_growth,179258025.0,0.08,0.08
2030,Total Debt,man_inp_growth,193598667.0,0.08,0.08
