Year,FCFF,growth_rate,PV,Discount Factor,Type
2021,1050679389.3129771,0.0,,,Historical calendar year
2022,1179354748.603352,0.12246871938214543,,,Historical calendar year
2023,1115894636.0153258,-0.05380918053976447,,,Historical calendar year
2024,1428264367.816092,0.2799276219448339,,,Historical calendar year
2025,,0.0,,,Historical ttm
2025,1569641164.5687432,0.09898503382033222,1453767259.0201879,0.9261780920606835,Projected calendar year
2026,1711236797.166116,0.09020891895140642,1467908949.3990326,0.8578058582131678,Projected calendar year
2027,1850587608.0084758,0.0814328040824806,1470256680.6630838,0.794480993118349,Projected calendar year
2028,1985045176.7060032,0.07265668921355481,1460657559.829689,0.7358308903848293,Projected calendar year
2029,2111851002.6940181,0.063880574344629,1439248527.4660263,0.6815104501359351,Projected calendar year
,36078278570.93652,0.02,24587723869.008614,0.6815104501359351,Terminal value
