Year,FCFF,growth_rate,PV,Discount Factor,Type
2021,1050679389.3129771,0.0,,,Historical calendar year
2022,1179354748.603352,0.12246871938214543,,,Historical calendar year
2023,1115894636.0153258,-0.05380918053976447,,,Historical calendar year
2024,1428264367.816092,0.2799276219448339,,,Historical calendar year
2025,,0.0,,,Historical ttm
2025,1533955931.034483,0.07400000000000001,1420716377.5106869,0.9261780920606835,Projected calendar year
2026,1638264934.344828,0.068,1405313257.9862041,0.8578058582131678,Projected calendar year
2027,1739837360.2742074,0.06199999999999999,1382267713.855059,0.794480993118349,Projected calendar year
2028,1837268252.449563,0.056,1351918734.0757413,0.7358308903848293,Projected calendar year
2029,1929131665.0720413,0.05,1314723389.434733,0.6815104501359351,Projected calendar year
,32956751931.69293,0.02,22460370843.986397,0.6815104501359351,Terminal value
