Year,Dividend,Type
2021,6.75,Historical
2022,7.0,Historical
2023,7.25,Historical
2024,7.75,Historical
2025,8.25,Historical
2026,8.67569648330429,Projected
2027,9.054821646007904,Projected
2028,9.37898233105302,Projected
2029,9.640654938603735,Projected
2030,9.833468037375809,Projected
