Year,Dividend,Type
2021,14.549999999999999,Historical
2022,9.25,Historical
2023,9.75,Historical
2024,15.15,Historical
2025,21.7,Historical
2026,22.785,Projected
2027,23.7533625,Projected
2028,24.5847301875,Projected
2029,25.26081026765625,Projected
2030,25.766026473009376,Projected
