Year,Dividend,Type
2021,13.8,Historical
2022,7.7,Historical
2023,8.25,Historical
2024,8.75,Historical
2025,1.0,Historical
2026,0.5992056717529354,Projected
2027,0.4220830240926634,Projected
2028,0.34171961328073575,Projected
2029,0.312605586766522,Projected
2030,0.31885769850185247,Projected
