,FCFF,FCF,EBIT,CapEx,Depreciation And Amortization,Delta WC,Tax Provision,Revenue,EBITDA,Net Income,Total Debt,Total Equity,Cash,Operating Cash Flow,Dividends,RnD,Ordinary Shares Number,Net Debt,Current Assets,Current Liabilities,Pretax Income,Total Assets,Interest Expense,WorkingCapital,ttm,effective_tax_rate,ReinvestmentRate,capital_invested,ROCE,operating_margin,sales_to_capital,FCFE
2021-12-31,,5643000000.0,5511000000.0,585000000.0,1999000000.0,,1218000000.0,23394000000.0,7510000000.0,4160000000.0,3926000000.0,7001000000.0,1043000000.0,6228000000.0,,,96056203.0,272000000.0,5988000000.0,8246000000.0,5378000000.0,18542000000.0,133000000.0,-2258000000.0,0,0.22647824470063221,,9884000000.0,0.43129081277365605,0.23557322390356503,2.36685552407932,
2022-12-31,7204683453.23741,3243000000.0,6795000000.0,1191000000.0,1973000000.0,-1192000000.0,1504000000.0,26463000000.0,8768000000.0,5029000000.0,7588000000.0,7168000000.0,794000000.0,4434000000.0,,,88904380.0,3731000000.0,7731000000.0,11181000000.0,6533000000.0,22013000000.0,262000000.0,-3450000000.0,0,0.2302158273381295,0.3727083727083727,13962000000.0,0.3746371188395222,0.2567736084344179,1.895358831113021,7204683453.23741
2023-12-31,2425663137.6323385,5896000000.0,6878000000.0,1488000000.0,2079000000.0,3395000000.0,1494000000.0,28136000000.0,8957000000.0,4740000000.0,11167000000.0,5355000000.0,1397000000.0,7384000000.0,,,82209972.0,5889000000.0,7998000000.0,8053000000.0,6234000000.0,23798000000.0,644000000.0,-55000000.0,0,0.23965351299326276,1.2930906389301635,15125000000.0,0.34576285207486535,0.24445550184816606,1.8602314049586777,2425663137.6323385
2024-12-31,7101508663.008951,7042000000.0,7727000000.0,1679000000.0,2353000000.0,-596000000.0,1699000000.0,31680000000.0,10080000000.0,5227000000.0,13401000000.0,5508000000.0,2394000000.0,8721000000.0,,,78817541.0,5834000000.0,9226000000.0,9877000000.0,6926000000.0,27758000000.0,801000000.0,-651000000.0,0,0.24530753681778805,0.5700066357000664,16515000000.0,0.3531037640332396,0.24390782828282828,1.9182561307901906,7101508663.008951
2025-08-19,9137513957.772425,6159000000.0,7832000000.0,1847000000.0,2461000000.0,-2566000000.0,1689000000.0,32496000000.0,10293000000.0,5367000000.0,16113000000.0,3550000000.0,817000000.0,8006000000.0,,,77280496.0,9970000000.0,8093000000.0,10908000000.0,7057000000.0,27008000000.0,775000000.0,,1,0.23933682868074252,0.2835748005860329,18846000000.0,0.31611556604968827,0.24101427868045297,1.7242916268704234,9137513957.772425
