Year,variable,method,value,parameter_value,growth_rate
2027,Depreciation And Amortization,cagr,,,
2028,Depreciation And Amortization,cagr,,,
2029,Depreciation And Amortization,cagr,,,
2030,Depreciation And Amortization,cagr,,,
2031,Depreciation And Amortization,cagr,,,
2032,Depreciation And Amortization,cagr,,,
2033,Depreciation And Amortization,cagr,,,
2034,Depreciation And Amortization,cagr,,,
2025,Depreciation And Amortization,slope,,,
2026,Depreciation And Amortization,slope,,,
2027,Depreciation And Amortization,slope,,,
2028,Depreciation And Amortization,slope,,,
2029,Depreciation And Amortization,slope,,,
2030,Depreciation And Amortization,slope,,,
2031,Depreciation And Amortization,slope,,,
2032,Depreciation And Amortization,slope,,,
2033,Depreciation And Amortization,slope,,,
2034,Depreciation And Amortization,slope,,,
2025,Depreciation And Amortization,man_inp_growth,,0.05,0.05
2026,Depreciation And Amortization,man_inp_growth,,0.05,0.05
2027,Depreciation And Amortization,man_inp_growth,,0.05,0.05
2028,Depreciation And Amortization,man_inp_growth,,0.05,0.05
2029,Depreciation And Amortization,man_inp_growth,,0.05,0.05
2030,Depreciation And Amortization,man_inp_growth,,0.05,0.05
2031,Depreciation And Amortization,man_inp_growth,,0.05,0.05
2032,Depreciation And Amortization,man_inp_growth,,0.05,0.05
2033,Depreciation And Amortization,man_inp_growth,,0.05,0.05
2034,Depreciation And Amortization,man_inp_growth,,0.05,0.05
2025,Total Debt,cagr,8434663938.0,-0.19,-0.19
2026,Total Debt,cagr,6848628778.0,-0.19,-0.19
2027,Total Debt,cagr,5560828088.0,-0.19,-0.19
2028,Total Debt,cagr,4515182532.0,-0.19,-0.19
2029,Total Debt,cagr,3666157805.0,-0.19,-0.19
2030,Total Debt,cagr,2976781770.0,-0.19,-0.19
2031,Total Debt,cagr,2417034448.0,-0.19,-0.19
2032,Total Debt,cagr,1962540749.0,-0.19,-0.19
2033,Total Debt,cagr,1593509018.0,-0.19,-0.19
2034,Total Debt,cagr,1293869181.0,-0.19,-0.19
2025,Total Debt,slope,5145000000.0,-1909400000.0,-0.5
2026,Total Debt,slope,3235600000.0,-1909400000.0,-0.37
2027,Total Debt,slope,1326200000.0,-1909400000.0,-0.59
2028,Total Debt,slope,-583200000.0,-1909400000.0,-1.44
2029,Total Debt,slope,-2492600000.0,-1909400000.0,3.27
2030,Total Debt,slope,-4402000000.0,-1909400000.0,0.77
2031,Total Debt,slope,-6311400000.0,-1909400000.0,0.43
2032,Total Debt,slope,-8220800000.0,-1909400000.0,0.3
2033,Total Debt,slope,-10130200000.0,-1909400000.0,0.23
2034,Total Debt,slope,-12039600000.0,-1909400000.0,0.19
2025,Total Debt,man_inp_growth,10907400000.0,0.05,0.05
2026,Total Debt,man_inp_growth,11452770000.0,0.05,0.05
2027,Total Debt,man_inp_growth,12025408500.0,0.05,0.05
2028,Total Debt,man_inp_growth,12626678925.0,0.05,0.05
2029,Total Debt,man_inp_growth,13258012871.0,0.05,0.05
2030,Total Debt,man_inp_growth,13920913515.0,0.05,0.05
2031,Total Debt,man_inp_growth,14616959191.0,0.05,0.05
2032,Total Debt,man_inp_growth,15347807150.0,0.05,0.05
2033,Total Debt,man_inp_growth,16115197508.0,0.05,0.05
2034,Total Debt,man_inp_growth,16920957383.0,0.05,0.05
2025,Cash,cagr,,,
