,FCFF,FCF,EBIT,CapEx,Depreciation And Amortization,Delta WC,Tax Provision,Revenue,EBITDA,Net Income,Total Debt,Total Equity,Cash,Operating Cash Flow,Dividends,Ordinary Shares Number,Net Debt,Current Assets,Current Liabilities,Pretax Income,Total Assets,Interest Expense,WorkingCapital,ttm,effective_tax_rate,ReinvestmentRate,capital_invested,ROCE,operating_margin,sales_to_capital,FCFE
2021-12-31,,2593000000.0,1430000000.0,628000000.0,1760000000.0,,509000000.0,71363000000.0,3254000000.0,615000000.0,16982000000.0,7789000000.0,3428000000.0,3221000000.0,,184698144.0,13554000000.0,16293000000.0,16690000000.0,1045000000.0,43655000000.0,385000000.0,-397000000.0,0,0.48708133971291867,,21343000000.0,0.03436600685051428,0.020038395246836597,3.343625544675069,
2022-12-31,1851142857.142857,2524000000.0,2936000000.0,809000000.0,1517000000.0,1321000000.0,405000000.0,73838000000.0,4453000000.0,2058000000.0,16800000000.0,10815000000.0,5214000000.0,3333000000.0,,184729883.0,11586000000.0,18341000000.0,17417000000.0,2520000000.0,47005000000.0,416000000.0,924000000.0,0,0.16071428571428573,1.4409324377716317,22401000000.0,0.11000146677125383,0.039762723800753,3.29619213427972,1851142857.142857
2023-12-31,4856797313.314896,2673000000.0,3103000000.0,719000000.0,1464000000.0,-1688000000.0,554000000.0,78681000000.0,4589000000.0,279000000.0,16719000000.0,10522000000.0,6093000000.0,3392000000.0,390000000.0,185336319.0,10626000000.0,20138000000.0,20902000000.0,2531000000.0,47693000000.0,572000000.0,-764000000.0,0,0.21888581588305017,0.1941938014907807,21148000000.0,0.11461118372020498,0.0394377295662231,3.7204936637034236,4856797313.314896
2024-12-31,4253616853.591997,3093000000.0,4063000000.0,634000000.0,1469000000.0,-166000000.0,658000000.0,83761000000.0,5623000000.0,2581000000.0,18341000000.0,11913000000.0,6829000000.0,3727000000.0,425000000.0,176448461.0,11512000000.0,21370000000.0,22300000000.0,3299000000.0,50641000000.0,764000000.0,-930000000.0,0,0.19945438011518643,0.5688693098384728,23425000000.0,0.13885237368589104,0.04850706175905254,3.575709711846318,4253616853.591997
2025-08-09,3646636396.658191,2729000000.0,3445000000.0,652000000.0,1481000000.0,-166000000.0,634000000.0,81026000000.0,5003000000.0,1725000000.0,18341000000.0,11913000000.0,6829000000.0,3381000000.0,,176448461.0,11512000000.0,21370000000.0,22300000000.0,2753000000.0,50641000000.0,692000000.0,,1,0.23029422448238285,0.6997509782995376,23425000000.0,0.11319685791497079,0.042517216695875396,3.4589541088580575,3646636396.658191
