Year,Dividend,Type
2021,1.25,Historical
2022,3.45,Historical
2023,5.65,Historical
2024,2.5,Historical
2025,2.25,Historical
2026,2.450468422845731,Projected
2027,2.6264679449470094,Projected
2028,2.769737932525012,Projected
2029,2.872977889849474,Projected
2030,2.930437447646464,Projected
