Date,Dividends
2021-12-31 00:00:00+01:00,4.675
2022-12-31 00:00:00+01:00,5.575
2023-12-31 00:00:00+01:00,7.075
2024-12-31 00:00:00+01:00,9.9
2025-12-31 00:00:00+01:00,15.8
