Year,Dividend,Type
2021,4.675,Historical
2022,5.575,Historical
2023,7.075,Historical
2024,9.9,Historical
2025,15.8,Historical
2026,21.348689145892166,Projected
2027,27.078402832579116,Projected
2028,32.103922300310835,Projected
2029,35.40406792608607,Projected
2030,36.112149284607796,Projected
