,FCFF,FCF,EBIT,CapEx,Depreciation And Amortization,Delta WC,Tax Provision,Revenue,EBITDA,Net Income,Total Debt,Total Equity,Cash,Operating Cash Flow,Net Debt,Current Assets,Current Liabilities,Pretax Income,Total Assets,Interest Expense,WorkingCapital,ttm,effective_tax_rate,ReinvestmentRate,capital_invested,ROCE,operating_margin,sales_to_capital,FCFE
2021-12-31,,19046000000.0,19538000000.0,2976000000.0,4944000000.0,,697000000.0,61787000000.0,24482000000.0,17942000000.0,15335000000.0,45588000000.0,11832000000.0,22022000000.0,3503000000.0,25802000000.0,12093000000.0,18730000000.0,72271000000.0,808000000.0,13709000000.0,0,0.037213027229044314,,49091000000.0,0.3979955592674828,0.3162153851133734,1.258621743293068,
2022-12-31,18827942211.637062,30313000000.0,30997000000.0,4163000000.0,5960000000.0,13033000000.0,910000000.0,81529000000.0,36957000000.0,29198000000.0,15643000000.0,65032000000.0,10057000000.0,34476000000.0,5586000000.0,40063000000.0,13321000000.0,30231000000.0,93680000000.0,766000000.0,26742000000.0,0,0.030101551387648442,0.7696347259613787,70618000000.0,0.43893908068764337,0.38019600387592145,1.1545073494010025,18827942211.637062
2023-12-31,15301753782.6685,5997000000.0,5133000000.0,3646000000.0,6238000000.0,-8111000000.0,454000000.0,51065000000.0,11371000000.0,3822000000.0,14814000000.0,55090000000.0,6701000000.0,9643000000.0,8113000000.0,31500000000.0,12869000000.0,4362000000.0,82578000000.0,771000000.0,18631000000.0,0,0.10408069692801467,0.37892712117973926,63203000000.0,0.08121449931174153,0.10051894644081073,0.807952154169897,15301753782.6685
2024-12-31,7511144366.197184,7207000000.0,7713000000.0,4201000000.0,6178000000.0,1518000000.0,584000000.0,55482000000.0,13891000000.0,6109000000.0,16477000000.0,57947000000.0,6575000000.0,11408000000.0,9902000000.0,34072000000.0,13923000000.0,6816000000.0,87697000000.0,897000000.0,20149000000.0,0,0.08568075117370892,1.6688175059615655,67849000000.0,0.11367890462644992,0.1390180599113226,0.8177276009963301,7511144366.197184
2025-07-29,,8186000000.0,,4893000000.0,,-726000000.0,687000000.0,56448000000.0,,7094000000.0,17039000000.0,56455000000.0,7128000000.0,13079000000.0,9911000000.0,32499000000.0,15166000000.0,7918000000.0,86965000000.0,,,1,0.08676433442788584,,66366000000.0,,,0.8505560075942501,
