MA_21d,MA_42d,MA_63d,MA_105d,MA_210d,MA_315d,MA_420d,BB_upper,BB_lower,ATR_14,OBV,Stoch_%K,Stoch_%D,RSI_14,MACD,MACD_Signal,Trend_Slope,Total_Return_%,Close,Ticker,Rel_Perf_vs_Index_%,Corr_vs_Index
261.06666564941406,265.77381025041853,283.009523421999,288.60571434384303,344.4538099016462,360.1073014516679,357.8819041660854,281.9115004512947,240.40849619177163,13.007144383021764,-5808575.0,74.27467600886604,61.43107289842084,67.96537046746566,-0.018990372125585964,-2.3950661271274245,-0.41173604538705266,-57.63486820657191,"Date
2023-06-12    656.200012
2023-06-13    643.000000
2023-06-14    657.400024
2023-06-15    667.799988
2023-06-16    673.400024
                 ...    
2025-06-02    263.299988
2025-06-03    260.200012
2025-06-04    266.799988
2025-06-06    267.299988
2025-06-10    278.000000
Name: Close, Length: 500, dtype: float64",ORSTED.CO,-68.77245950957236,0.06448883978628325
104.7009528023856,96.4174310593378,99.13613358754961,98.85394403366816,114.26853855678013,136.1788356236049,146.60854659307572,115.88555142795738,94.77044909084145,4.860715593610491,3363798.0,72.9020947929838,60.714277504190875,47.230319337884424,2.729368771198679,2.638513950986728,-0.1980390354281144,-43.635432834103916,"Date
2023-06-12    195.779022
2023-06-13    193.155380
2023-06-14    194.248566
2023-06-15    188.842285
2023-06-16    192.260971
                 ...    
2025-06-02    102.750000
2025-06-03    101.849998
2025-06-04    106.199997
2025-06-06    108.250000
2025-06-10    110.349998
Name: Close, Length: 500, dtype: float64",VWS.CO,-54.773024137104365,0.7632454140328845
93.4990474155971,93.52666655040923,101.59793635777065,115.3759048461914,131.28533328828357,150.44276183597626,151.13754766555058,99.42635517703036,88.12564448727628,4.0835723876953125,-21158882.0,99.64466650001654,75.74360059234054,64.06250310440714,-0.21383393437284326,-1.2907476000965055,-0.09381546452272235,-42.49219042761513,"Date
2023-06-12    176.149994
2023-06-13    179.550003
2023-06-14    180.250000
2023-06-15    175.000000
2023-06-16    174.399994
                 ...    
2025-06-02     93.879997
2025-06-03     93.459999
2025-06-04     93.699997
2025-06-06     94.919998
2025-06-10    101.300003
Name: Close, Length: 500, dtype: float64",GN.CO,-53.629781730615576,0.2669581779774288
637.1904732840402,666.8783874511719,686.308591812376,729.0815540132069,803.6354059128535,825.8442039853051,810.1013057163783,652.5297708577275,622.2502218180537,11.242867606026786,-3605170.0,65.21744899358245,49.40204329704244,49.543386790093095,-13.792222233648317,-15.661450267419626,-0.02331124128988706,-23.32580381842293,"Date
2023-06-12    831.309692
2023-06-13    819.718079
2023-06-14    817.979370
2023-06-15    820.297668
2023-06-16    839.810181
                 ...    
2025-06-02    626.599976
2025-06-03    619.799988
2025-06-04    628.599976
2025-06-06    629.599976
2025-06-10    637.400024
Name: Close, Length: 500, dtype: float64",COLO-B.CO,-34.463395121423375,-0.2890004770210384
932.8285696847098,904.1285705566406,895.4371967618428,839.607421875,789.437251499721,821.5084428090897,822.2178965250652,964.2743991489799,903.705599630317,16.514277866908483,-3526791.0,50.94338264613542,67.15304115720647,52.96704638135302,12.858124314437873,14.986306639640006,-0.25908359486855925,-5.719534456141084,"Date
2023-06-12     994.903870
2023-06-13    1001.973328
2023-06-14    1004.801086
2023-06-15    1015.169556
2023-06-16    1015.640869
                 ...     
2025-06-02     951.000000
2025-06-03     941.000000
2025-06-04     954.799988
2025-06-06     937.599976
2025-06-10     938.000000
Name: Close, Length: 500, dtype: float64",CARL-B.CO,-16.85712575914153,0.7557851386303232
102.23571414039249,109.1952380225772,113.4452377803742,121.56523815336682,123.3268300374349,123.92655530657088,116.70335818699428,105.81529670610624,98.45970329389377,2.717858450753348,9017312.0,54.34779904516516,32.38197322844268,52.29883923493774,-3.3577028930398285,-3.716926353337388,0.07744788131264342,-3.209244010061485,"Date
2023-06-12    105.588593
2023-06-13    106.186546
2023-06-14    108.379044
2023-06-15    105.837738
2023-06-16    110.920349
                 ...    
2025-06-02     98.949997
2025-06-03     99.949997
2025-06-04     99.400002
2025-06-06     99.650002
2025-06-10    102.199997
Name: Close, Length: 500, dtype: float64",AMBU-B.CO,-14.346835313061934,-0.2951857465493685
454.35714140392486,440.51309349423366,467.49937317863345,519.4836995442708,657.399465797061,737.6222760881697,728.6964570545015,500.7061015924113,408.76389657653397,19.267850603376115,-61979870.0,99.52807920112197,97.82528315720022,75.4015439606514,11.703829060406179,4.23083190096702,-0.10368915064820408,-1.8500324250665168,"Date
2023-06-12    529.597717
2023-06-13    528.242249
2023-06-14    528.242249
2023-06-15    534.632324
2023-06-16    534.341858
                 ...    
2025-06-02    475.000000
2025-06-03    466.350006
2025-06-04    476.700012
2025-06-06    490.350006
2025-06-10    519.799988
Name: Close, Length: 500, dtype: float64",NOVO-B.CO,-12.987623728066964,0.44923933642569003
258.7047642299107,244.24285852341424,245.7809533013238,257.4609524681455,262.9704770042783,281.16222219315785,285.71857121785484,276.1934920531263,243.3465134400377,7.900001525878906,2249129.0,98.06449644027218,70.03646151591506,63.556848523457155,5.682835454467806,5.165729815892371,-0.0863794593735504,-1.1731204892186042,"Date
2023-06-12    281.299988
2023-06-13    284.700012
2023-06-14    290.799988
2023-06-15    283.399994
2023-06-16    284.899994
                 ...    
2025-06-02    251.600006
2025-06-03    249.800003
2025-06-04    254.800003
2025-06-06    272.000000
2025-06-10    278.000000
Name: Close, Length: 500, dtype: float64",DEMANT.CO,-12.310711792219053,0.8841463568628639
301.93333217075894,292.1952362060547,286.86348954458083,294.58285551525296,307.19809381394157,302.00380849686877,287.459761265346,310.8012067092399,293.47879207005695,6.900000435965402,2756666.0,52.941132471760014,44.11761039313334,50.44642157700882,2.029455873943732,3.5495678173645433,0.11182513345922529,5.237430279213462,"Date
2023-06-12    286.399994
2023-06-13    291.399994
2023-06-14    291.100006
2023-06-15    289.500000
2023-06-16    295.600006
                 ...    
2025-06-02    296.000000
2025-06-03    290.799988
2025-06-04    298.600006
2025-06-06    298.799988
2025-06-10    301.399994
Name: Close, Length: 500, dtype: float64",NETC.CO,-5.900161023786986,0.570345177470605
12272.142857142857,11498.02380952381,11559.502046130952,11101.976004464286,10528.193833705358,10241.272454737104,10194.861025855655,13221.44318895272,11410.55681104728,448.92857142857144,-213426.0,41.41104294478528,43.66053169734153,34.854771784232355,135.47180813648083,228.53997644700755,1.0586756724995656,15.459080395783564,"Date
2023-06-12    10479.903320
2023-06-13    10961.738281
2023-06-14    10858.487305
2023-06-15    10871.393555
2023-06-16    10484.206055
                  ...     
2025-06-02    12045.000000
2025-06-03    11725.000000
2025-06-04    11970.000000
2025-06-06    12340.000000
2025-06-10    12100.000000
Name: Close, Length: 500, dtype: float64",MAERSK-B.CO,4.321489092783116,0.9833001139887031
