,FCFF,FCF,EBIT,CapEx,Depreciation And Amortization,Delta WC,Tax Provision,Revenue,EBITDA,Net Income,Total Debt,Cash,Operating Cash Flow,Net Debt,Current Assets,Current Liabilities,Pretax Income,Total Assets,Interest Expense,WorkingCapital,ttm,effective_tax_rate,ReinvestmentRate,capital_invested,ROCE,operating_margin,sales_to_capital,FCFE
2021-09-30,,3324000000.0,6258000000.0,1966000000.0,792000000.0,,1408000000.0,19426000000.0,7050000000.0,4825000000.0,2786000000.0,448000000.0,5290000000.0,1712000000.0,6994000000.0,6314000000.0,6233000000.0,15841000000.0,25000000.0,680000000.0,0,0.22589443285737204,,9527000000.0,0.65686994856723,0.32214557809121797,2.0390469192820406,
2022-09-30,3877109025.6242857,3964000000.0,6299000000.0,1135000000.0,930000000.0,756000000.0,1421000000.0,22579000000.0,7229000000.0,4706000000.0,18708000000.0,414000000.0,5099000000.0,17589000000.0,8772000000.0,7336000000.0,6127000000.0,37446000000.0,172000000.0,1436000000.0,0,0.2319242696262445,0.5783107831078311,30110000000.0,0.20919960146130853,0.2789760396828912,0.7498837595483229,3877109025.6242857
2023-09-30,12927481991.701244,2985000000.0,6663000000.0,1241000000.0,1069000000.0,-7810000000.0,1242000000.0,24500000000.0,7732000000.0,4783000000.0,19567000000.0,911000000.0,4226000000.0,17762000000.0,9937000000.0,16311000000.0,6025000000.0,48159000000.0,638000000.0,-6374000000.0,0,0.20614107883817429,-1.014572957019,31848000000.0,0.2092125094197438,0.2719591836734694,0.7692790756091434,12927481991.701244
2024-09-30,-989956215.7935886,1420000000.0,7190000000.0,1346000000.0,1290000000.0,6614000000.0,1343000000.0,27030000000.0,8480000000.0,5052000000.0,22629000000.0,788000000.0,2766000000.0,20854000000.0,10444000000.0,10204000000.0,6395000000.0,48073000000.0,795000000.0,240000000.0,0,0.21000781860828774,1.582007867282367,37869000000.0,0.18986506113179646,0.26600073991860895,0.7137764398320526,-989956215.7935886
2025-07-28,-1370329226.9787502,4873000000.0,7321000000.0,1414000000.0,1335000000.0,6414000000.0,1950000000.0,27794000000.0,8656000000.0,4544000000.0,24264000000.0,729000000.0,6287000000.0,22509000000.0,10467000000.0,10967000000.0,6494000000.0,49152000000.0,827000000.0,,1,0.300277178934401,1.7060137776950288,38185000000.0,0.19172449914888046,0.26340217313089154,0.7278774387848632,-1370329226.9787502
