Year,Dividend,Type
2021,3.9,Historical
2022,4.2,Historical
2023,4.8,Historical
2024,5.4,Historical
2025,5.9,Historical
2026,6.572399281633039,Projected
2027,7.167033721546573,Projected
2028,7.647103069423706,Projected
2029,7.979687014213125,Projected
2030,8.139280754497388,Projected
