Year,Dividend,Type
2021,18.5,Historical
2022,6.5,Historical
2023,7.0,Historical
2024,7.5,Historical
2025,10.5,Historical
2026,9.510593157065083,Projected
2027,8.886014269281109,Projected
2028,8.556213301286109,Projected
2029,8.482995167712467,Projected
2030,8.652655071066716,Projected
