Year,Dividend,Type
2018,1.25,Historical
2019,1.35,Historical
2020,1.45,Historical
2021,1.45,Historical
2022,1.55,Historical
2023,1.629744254212824,Projected
2024,1.7007781723112283,Projected
2025,1.7615366917544724,Projected
2026,1.8106165856392549,Projected
2027,1.84682891735204,Projected
