Year,Dividend,Type
2021,1.825,Historical
2022,1.1875,Historical
2023,2.3,Historical
2024,2.8,Historical
2025,3.0,Historical
2026,3.6103173065028136,Projected
2027,4.179228676566651,Projected
2028,4.6461302281892305,Projected
2029,4.952123322156215,Projected
2030,5.051165788599339,Projected
